id,created_at,actor__username,action,target,details
88,2026-09-20 14:55:51.232912+00:00,audit.reviewer,audit.viewed,latest-500,{}
87,2026-09-20 14:55:51.186083+00:00,audit.reviewer,account.login,4,{}
86,2026-09-20 14:55:49.879873+00:00,zakaria.admin,register.data_remove,entries:15,"{'before': 'draft', 'after': 'deleted', 'reason': 'Created by mistake while testing; no financial effect.', 'revision': '2'}"
85,2026-09-20 14:55:49.812238+00:00,finance.officer,register.draft_created,15,{}
84,2026-09-20 14:55:49.722450+00:00,finance.officer,register.report_saved,1,{}
83,2026-09-20 14:55:49.676605+00:00,finance.officer,register.report_exported,csv,"{'count': 13, 'view': 'detail'}"
82,2026-09-20 14:55:49.613794+00:00,finance.officer,register.report_exported,png,"{'count': 13, 'view': 'detail'}"
81,2026-09-20 14:55:48.958792+00:00,finance.officer,register.report_exported,xlsx,"{'count': 13, 'view': 'detail'}"
80,2026-09-20 14:55:48.803783+00:00,finance.officer,register.report_exported,pdf,"{'count': 13, 'view': 'detail'}"
79,2026-09-20 14:55:48.079814+00:00,finance.officer,register.ledger_exported,csv,{'count': 13}
78,2026-09-20 14:55:47.924607+00:00,finance.officer,register.submit,14,{'version': 2}
77,2026-09-20 14:55:47.876970+00:00,finance.officer,register.draft_created,14,{}
76,2026-09-20 14:55:47.812376+00:00,general.manager,register.confirm,13,{'version': 3}
75,2026-09-20 14:55:47.763240+00:00,finance.officer,register.submit,13,{'version': 2}
74,2026-09-20 14:55:47.679943+00:00,general.manager,register.confirm,12,{'version': 3}
73,2026-09-20 14:55:47.629962+00:00,finance.officer,register.submit,12,{'version': 2}
72,2026-09-20 14:55:47.546974+00:00,general.manager,register.confirm,11,{'version': 3}
71,2026-09-20 14:55:47.480191+00:00,finance.officer,register.submit,11,{'version': 2}
70,2026-09-20 14:55:47.412734+00:00,finance.officer,register.import_completed,1,{'count': 3}
69,2026-09-20 14:55:47.412734+00:00,finance.officer,register.draft_imported,13,"{'batch': 1, 'source_row': 4}"
68,2026-09-20 14:55:47.406865+00:00,finance.officer,register.draft_imported,12,"{'batch': 1, 'source_row': 3}"
67,2026-09-20 14:55:47.400867+00:00,finance.officer,register.draft_imported,11,"{'batch': 1, 'source_row': 2}"
66,2026-09-20 14:55:47.312599+00:00,finance.officer,register.import_reviewed,1,"{'version': 2, 'ready': True}"
65,2026-09-20 14:55:47.241052+00:00,finance.officer,register.import_staged,1,"{'source_hash': 'a2e3e16cbb38b9fc46d4a7a9b5f6ac4cee36bd3f3367626943682119e2f31f4e', 'sheet': 'CSV', 'count': 4}"
64,2026-09-20 14:55:47.186296+00:00,zakaria.admin,register.cancel,10,{'version': 4}
